record_id,rna_id,source_model,condition,sequence_length,gt_pair_count,original_predicted_pair_count,refined_predicted_pair_count,tp_before,fp_before,fn_before,tp,fp,fn,precision,recall,f1,delta_precision,delta_recall,delta_f1,modified_pair_count,beneficial_edit_count,harmful_edit_count,beneficial_edit_fraction,harmful_edit_fraction,correct_pair_preservation_rate
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,17RA_21_hp_nmr_A,rnafold,R1_R3,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,17RA_21_hp_nmr_A,trrosettarna2_native_ss,ORIGINAL,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,17RA_21_hp_nmr_A,trrosettarna2_native_ss,R1,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,17RA_21_hp_nmr_A,trrosettarna2_native_ss,R2,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,17RA_21_hp_nmr_A,trrosettarna2_native_ss,R3,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,17RA_21_hp_nmr_A,trrosettarna2_native_ss,R1_R2,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,17RA_21_hp_nmr_A,trrosettarna2_native_ss,R1_R3,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,petfold,ORIGINAL,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,petfold,R1,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,petfold,R2,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,petfold,R3,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,petfold,R1_R2,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,petfold,R1_R3,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,rnafold,ORIGINAL,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,rnafold,R1,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,rnafold,R2,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,rnafold,R3,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,rnafold,R1_R2,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,rnafold,R1_R3,44,14,11,11,11,0,3,11,0,3,1.0,0.7857142857142857,0.88,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,trrosettarna2_native_ss,ORIGINAL,44,14,15,15,5,10,9,5,10,9,0.3333333333333333,0.35714285714285715,0.3448275862068966,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,trrosettarna2_native_ss,R1,44,14,15,14,5,10,9,5,9,9,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.023809523809523836,0.0,0.012315270935960576,1,1,0,1.0,0.0,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,trrosettarna2_native_ss,R2,44,14,15,15,5,10,9,5,10,9,0.3333333333333333,0.35714285714285715,0.3448275862068966,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,trrosettarna2_native_ss,R3,44,14,15,15,5,10,9,5,10,9,0.3333333333333333,0.35714285714285715,0.3448275862068966,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,trrosettarna2_native_ss,R1_R2,44,14,15,14,5,10,9,5,9,9,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.023809523809523836,0.0,0.012315270935960576,1,1,0,1.0,0.0,1.0
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,trrosettarna2_native_ss,R1_R3,44,14,15,14,5,10,9,5,9,9,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.023809523809523836,0.0,0.012315270935960576,1,1,0,1.0,0.0,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,petfold,ORIGINAL,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,petfold,R1,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,petfold,R2,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,petfold,R3,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,petfold,R1_R2,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,petfold,R1_R3,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,rnafold,ORIGINAL,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,rnafold,R1,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,rnafold,R2,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,rnafold,R3,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,rnafold,R1_R2,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,rnafold,R1_R3,38,14,14,14,14,0,0,14,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,trrosettarna2_native_ss,ORIGINAL,38,14,15,15,14,1,0,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,trrosettarna2_native_ss,R1,38,14,15,15,14,1,0,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,trrosettarna2_native_ss,R2,38,14,15,15,14,1,0,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,trrosettarna2_native_ss,R3,38,14,15,15,14,1,0,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,trrosettarna2_native_ss,R1_R2,38,14,15,15,14,1,0,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,trrosettarna2_native_ss,R1_R3,38,14,15,15,14,1,0,14,1,0,0.9333333333333333,1.0,0.9655172413793104,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1B36_38_hp_nmr_A,petfold,ORIGINAL,38,9,11,11,9,2,0,9,2,0,0.8181818181818182,1.0,0.9,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1B36_38_hp_nmr_A,petfold,R1,38,9,11,11,9,2,0,9,2,0,0.8181818181818182,1.0,0.9,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1B36_38_hp_nmr_A,petfold,R2,38,9,11,9,9,2,0,9,0,0,1.0,1.0,1.0,0.18181818181818177,0.0,0.09999999999999998,2,2,0,1.0,0.0,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1B36_38_hp_nmr_A,petfold,R3,38,9,11,11,9,2,0,9,2,0,0.8181818181818182,1.0,0.9,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1B36_38_hp_nmr_A,petfold,R1_R2,38,9,11,9,9,2,0,9,0,0,1.0,1.0,1.0,0.18181818181818177,0.0,0.09999999999999998,2,2,0,1.0,0.0,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1B36_38_hp_nmr_A,petfold,R1_R3,38,9,11,11,9,2,0,9,2,0,0.8181818181818182,1.0,0.9,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1B36_38_hp_nmr_A,rnafold,ORIGINAL,38,9,9,9,9,0,0,9,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1B36_38_hp_nmr_A,rnafold,R1,38,9,9,9,9,0,0,9,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1B36_38_hp_nmr_A,rnafold,R2,38,9,9,9,9,0,0,9,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1B36_38_hp_nmr_A,rnafold,R3,38,9,9,9,9,0,0,9,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1B36_38_hp_nmr_A,rnafold,R1_R2,38,9,9,9,9,0,0,9,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1B36_38_hp_nmr_A,rnafold,R1_R3,38,9,9,9,9,0,0,9,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1B36_38_hp_nmr_A,trrosettarna2_native_ss,ORIGINAL,38,9,16,16,9,7,0,9,7,0,0.5625,1.0,0.72,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1B36_38_hp_nmr_A,trrosettarna2_native_ss,R1,38,9,16,15,9,7,0,9,6,0,0.6,1.0,0.75,0.03749999999999998,0.0,0.030000000000000027,1,1,0,1.0,0.0,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1B36_38_hp_nmr_A,trrosettarna2_native_ss,R2,38,9,16,16,9,7,0,9,7,0,0.5625,1.0,0.72,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1B36_38_hp_nmr_A,trrosettarna2_native_ss,R3,38,9,16,16,9,7,0,9,7,0,0.5625,1.0,0.72,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1B36_38_hp_nmr_A,trrosettarna2_native_ss,R1_R2,38,9,16,15,9,7,0,9,6,0,0.6,1.0,0.75,0.03749999999999998,0.0,0.030000000000000027,1,1,0,1.0,0.0,1.0
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1B36_38_hp_nmr_A,trrosettarna2_native_ss,R1_R3,38,9,16,15,9,7,0,9,6,0,0.6,1.0,0.75,0.03749999999999998,0.0,0.030000000000000027,1,1,0,1.0,0.0,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,petfold,ORIGINAL,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,petfold,R1,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,petfold,R2,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,petfold,R3,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,petfold,R1_R2,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,petfold,R1_R3,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,rnafold,ORIGINAL,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,rnafold,R1,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,rnafold,R2,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,rnafold,R3,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,rnafold,R1_R2,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,rnafold,R1_R3,23,8,9,9,4,5,4,4,5,4,0.4444444444444444,0.5,0.47058823529411764,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BGZ_23_hp_nmr_A,trrosettarna2_native_ss,ORIGINAL,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BGZ_23_hp_nmr_A,trrosettarna2_native_ss,R1,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BGZ_23_hp_nmr_A,trrosettarna2_native_ss,R2,23,8,8,4,8,0,0,4,0,4,1.0,0.5,0.6666666666666666,0.0,-0.5,-0.33333333333333337,4,0,4,0.0,1.0,0.5
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BGZ_23_hp_nmr_A,trrosettarna2_native_ss,R3,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BGZ_23_hp_nmr_A,trrosettarna2_native_ss,R1_R2,23,8,8,4,8,0,0,4,0,4,1.0,0.5,0.6666666666666666,0.0,-0.5,-0.33333333333333337,4,0,4,0.0,1.0,0.5
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BGZ_23_hp_nmr_A,trrosettarna2_native_ss,R1_R3,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BVJ_23_hp_nmr_A,petfold,ORIGINAL,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BVJ_23_hp_nmr_A,petfold,R1,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BVJ_23_hp_nmr_A,petfold,R2,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BVJ_23_hp_nmr_A,petfold,R3,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BVJ_23_hp_nmr_A,petfold,R1_R2,23,8,8,8,8,0,0,8,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,,,1.0
