rna_id,status,sequence_length,sequence_exists,gt_exists,rnafold_prediction_exists,petfold_prediction_exists,trrna2_prediction_exists,trrna2_pair_score_exists,gt_pair_count,rnafold_pair_count,petfold_pair_count,trrna2_pair_count,warnings,failure_reason
2MQT_68_hpbulge_nmr_A,valid,68,true,true,true,true,true,true,25,27,28,29,raw_sequence_lowercase,
2MTJ_47_3wj_nmr_A,valid,47,true,true,true,true,true,true,15,15,15,18,raw_sequence_lowercase,
2MXL_39_hp_nmr_A,valid,39,true,true,true,true,true,true,13,13,13,17,raw_sequence_lowercase,
2N1Q_155_4wj_nmr_A,valid,155,true,true,true,true,true,true,53,51,48,55,raw_sequence_lowercase,
2N2P_23_hpbulge_nmr_A,valid,23,true,true,true,true,true,true,6,9,8,6,raw_sequence_lowercase,
2N3Q_62_3wj_nmr_A,valid,62,true,true,true,true,true,true,21,19,19,23,raw_sequence_lowercase,
2N4L_53_hpbulge_nmr_A,valid,53,true,true,true,true,true,true,21,21,21,24,raw_sequence_lowercase,
2N6W_68_hpbulge_nmr_A,valid,68,true,true,true,true,true,true,25,28,28,26,raw_sequence_lowercase,
2NC1_67_3wj_nmr_A,valid,67,true,true,true,true,true,true,25,24,24,29,raw_sequence_lowercase,
2NCI_28_hpbulge_nmr_A,valid,28,true,true,true,true,true,true,8,10,10,10,raw_sequence_lowercase,
2PCV_35_hpbulge_nmr_A,valid,35,true,true,true,true,true,true,9,10,11,10,raw_sequence_lowercase,
2QH2_24_hp_nmr_A,valid,24,true,true,true,true,true,true,9,8,8,9,raw_sequence_lowercase,
2RO2_23_hp_nmr_A,valid,23,true,true,true,true,true,true,9,9,9,10,raw_sequence_lowercase,
2RVO_34_hp_nmr_A,valid,34,true,true,true,true,true,true,13,13,13,14,raw_sequence_lowercase,
2TPK_35_pseudoknot_nmr_A,valid,36,true,true,true,true,true,true,12,8,10,12,raw_sequence_lowercase,
387D_26_hpbulge_xray_A,valid,26,true,true,true,true,true,true,4,6,6,5,raw_sequence_lowercase,
5A17_32_hp_nmr_A,valid,32,true,true,true,true,true,true,11,11,10,13,raw_sequence_lowercase,
5KH8_47_3wj_nmr_A,valid,47,true,true,true,true,true,true,14,9,9,17,raw_sequence_lowercase,
5KQE_35_hpbulge_nmr_A,valid,36,true,true,true,true,true,true,13,13,13,14,raw_sequence_lowercase,
5LSN_28_hp_nmr_A,valid,29,true,true,true,true,true,true,12,12,13,14,raw_sequence_lowercase,
5UF3_23_hp_nmr_A,valid,23,true,true,true,true,true,true,9,9,9,9,raw_sequence_lowercase,
5UZT_31_hp_nmr_A,valid,31,true,true,true,true,true,true,10,13,13,10,raw_sequence_lowercase,
5V16_41_hpbulge_nmr_A,valid,41,true,true,true,true,true,true,15,15,15,16,raw_sequence_lowercase,
5WQ1_23_hp_nmr_A,valid,23,true,true,true,true,true,true,9,9,9,9,raw_sequence_lowercase,
6HYK_31_hpbulge_nmr_A,valid,31,true,true,true,true,true,true,9,9,9,13,raw_sequence_lowercase,
6NOA_56_hp_nmr_A,valid,56,true,true,true,true,true,true,17,17,17,19,raw_sequence_lowercase,
6PK9_20_hp_nmr_A,valid,20,true,true,true,true,true,true,7,7,7,7,raw_sequence_lowercase,
6U79_37_hp_nmr_A,valid,37,true,true,true,true,true,true,15,15,15,15,raw_sequence_lowercase,
6UES_119_4wjpseudoknot_cryoEM_A,valid,119,true,true,true,true,true,true,43,38,39,47,raw_sequence_lowercase,
6VAR_61_hpbulge_nmr_A,valid,61,true,true,true,true,true,true,22,24,24,23,raw_sequence_lowercase,
6W3M_41_hp_nmr_A,valid,41,true,true,true,true,true,true,15,15,15,16,raw_sequence_lowercase,
7DD4_35_dumbbell_nmr_A,valid,36,true,true,true,true,true,true,13,13,13,15,raw_sequence_lowercase,
7K4L_36_hp_nmr_A,valid,36,true,true,true,true,true,true,12,12,12,13,raw_sequence_lowercase,
7KUB_60_hp_nmr_A,valid,60,true,true,true,true,true,true,23,23,23,23,raw_sequence_lowercase,
7LVA_103_3wj_nmr_A,valid,103,true,true,true,true,true,true,32,31,31,35,raw_sequence_lowercase,
7LYG_142_4wj_xray_A,valid,142,true,true,true,true,true,true,46,50,50,54,raw_sequence_lowercase,
7SHX_94_4wj_nmr_A,valid,94,true,true,true,true,true,true,28,31,33,36,raw_sequence_lowercase,
7UGA_43_hpbulge_nmr_A,valid,43,true,true,true,true,true,true,14,14,14,16,raw_sequence_lowercase,
7UMC_70_hpbulge_nmr_A,valid,70,true,true,true,true,true,true,21,21,21,27,raw_sequence_lowercase,
7UME_28_hp_nmr_A,valid,28,true,true,true,true,true,true,9,9,9,12,raw_sequence_lowercase,
7V06_43_hpbulge_nmr_A,valid,43,true,true,true,true,true,true,15,14,15,18,raw_sequence_lowercase,
8BWT_26_hp_nmr_A,valid,26,true,true,true,true,true,true,8,8,8,12,raw_sequence_lowercase,
8CQ1_43_hp_nmr_A,valid,44,true,true,true,true,true,true,17,17,19,18,raw_sequence_lowercase,
8FCS_71_hp_nmr_A,valid,71,true,true,true,true,true,true,27,27,30,31,raw_sequence_lowercase,
8JHP_27_hpbulge_nmr_A,valid,27,true,true,true,true,true,true,8,9,9,6,raw_sequence_lowercase,
8K8B_20_hp_nmr_A,valid,19,true,true,true,true,true,true,7,8,8,8,raw_sequence_lowercase,
8SCH_68_hpbulge_nmr_A,valid,68,true,true,true,true,true,true,21,24,25,24,raw_sequence_lowercase,
9FO9_33_hp_nmr_A,valid,33,true,true,true,true,true,true,11,12,12,14,raw_sequence_lowercase,
9G7C_224_4wj_cryoEM_A,valid,224,true,true,true,true,true,true,60,65,64,30,raw_sequence_lowercase,
9OBM_73_hp_nmr_A,valid,73,true,true,true,true,true,true,28,28,29,30,raw_sequence_lowercase,
9OD4_23_hp_nmr_A,valid,23,true,true,true,true,true,true,8,9,9,9,raw_sequence_lowercase,
