record_id,rna_id,source_model,status,sequence_length,gt_pair_count,predicted_pair_count,pair_scores_available,raw_pair_score_path,raw_pair_score_sha256,raw_pair_score_sha256_after,raw_pair_score_unchanged,normalized_pair_score_path,normalized_pair_score_sha256,normalized_pair_score_size_bytes,score_shape,score_dtype,diagonal_nonzero_count_before,diagonal_min_before,diagonal_max_before,max_asymmetry_before,min_score_before,max_score_before,diagonal_nonzero_count_after,max_asymmetry_after,min_score_after,max_score_after,max_off_diagonal_absolute_change,warnings,failure_reason
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BGZ_23_hp_nmr_A,trrosettarna2_native_ss,valid,23,8,8,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1BGZ_23_hp_nmr_A/1BGZ_23_hp_nmr_A_ss_prob.npz,18387cdd559a9910937ee15ecd6029d6d122cebd2740dcb69c0b0fa4fcd926e3,18387cdd559a9910937ee15ecd6029d6d122cebd2740dcb69c0b0fa4fcd926e3,true,pair_scores/legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,f89597913aa264a5167b7851a17c15205fd52a3f7788afd5b9db42850c01a432,1650,23x23,float32,23,1.0109769164046156e-06,7.814771379344165e-06,0.0,9.828901283981395e-07,0.9999789595603943,0,0.0,0.0,0.9999789595603943,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BVJ_23_hp_nmr_A,rnafold,valid,23,8,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BVJ_23_hp_nmr_A,petfold,valid,23,8,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1BVJ_23_hp_nmr_A,trrosettarna2_native_ss,valid,23,8,10,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1BVJ_23_hp_nmr_A/1BVJ_23_hp_nmr_A_ss_prob.npz,beb2e3140de41dac5bca147e71b43c328010ca0d2aa6d4c8f34c64e79be8f6ca,beb2e3140de41dac5bca147e71b43c328010ca0d2aa6d4c8f34c64e79be8f6ca,true,pair_scores/legacy121_v1__1bvj_23_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,74e5021c5637a7bb02f72abcb3733984413b0775261926e6df3a802492ac6bea,1647,23x23,float32,23,1.0163489605474751e-06,2.9282891773618758e-06,0.0,9.702050647319993e-07,0.9999817609786987,0,0.0,0.0,0.9999817609786987,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1e4p_24_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1E4P_24_hpbulge_nmr_A,rnafold,valid,24,7,7,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1e4p_24_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1E4P_24_hpbulge_nmr_A,petfold,valid,24,7,7,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1e4p_24_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1E4P_24_hpbulge_nmr_A,trrosettarna2_native_ss,valid,24,7,11,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1E4P_24_hpbulge_nmr_A/1E4P_24_hpbulge_nmr_A_ss_prob.npz,de8d77c05a77fb2f3f87fb6c69416eca831863b1d1e56d3c5d5606781d06d6f6,de8d77c05a77fb2f3f87fb6c69416eca831863b1d1e56d3c5d5606781d06d6f6,true,pair_scores/legacy121_v1__1e4p_24_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,2f3dc94ddb35b619865628f26ad66b6057bd9a01d0093bcbef9a84915b5487f7,1766,24x24,float32,24,1.0293415471096523e-06,2.252199692520662e-06,0.0,9.675039791545714e-07,0.9999818801879883,0,0.0,0.0,0.9999818801879883,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1e95_36_pseudoknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1E95_36_pseudoknot_nmr_A,rnafold,valid,36,12,6,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1e95_36_pseudoknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1E95_36_pseudoknot_nmr_A,petfold,valid,36,12,6,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1e95_36_pseudoknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1E95_36_pseudoknot_nmr_A,trrosettarna2_native_ss,valid,36,12,12,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1E95_36_pseudoknot_nmr_A/1E95_36_pseudoknot_nmr_A_ss_prob.npz,405c7edec7f1da0f872cb5ecfcdee041b5d569599166790e49ba552f0f5945c6,405c7edec7f1da0f872cb5ecfcdee041b5d569599166790e49ba552f0f5945c6,true,pair_scores/legacy121_v1__1e95_36_pseudoknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,2a8fbb9abb6a807e4c2c9d5dabdfc691e968fd562eb73ec00cdf2325b1630caf,3784,36x36,float32,36,1.0050835044239648e-06,2.1290852600941435e-06,0.0,9.670334293332417e-07,0.9999825358390808,0,0.0,0.0,0.9999825358390808,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1f9l_22_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1F9L_22_hp_nmr_A,rnafold,valid,22,7,7,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1f9l_22_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1F9L_22_hp_nmr_A,petfold,valid,22,7,7,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1f9l_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1F9L_22_hp_nmr_A,trrosettarna2_native_ss,valid,22,7,10,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1F9L_22_hp_nmr_A/1F9L_22_hp_nmr_A_ss_prob.npz,29560b8cb1f8ae4cc5ebae397cc5ae6b35cc72948309dca22d2ca6761bc9916d,29560b8cb1f8ae4cc5ebae397cc5ae6b35cc72948309dca22d2ca6761bc9916d,true,pair_scores/legacy121_v1__1f9l_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,cfda3b8c0b336b4b5e8cbbd2089bffa0d30a755e241b0c78704f3a9336e07f40,1514,22x22,float32,22,1.0096091500599869e-06,4.620396339305444e-06,0.0,9.630593922338448e-07,0.9999831914901733,0,0.0,0.0,0.9999831914901733,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1hlx_20_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1HLX_20_hp_nmr_A,rnafold,valid,20,7,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1hlx_20_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1HLX_20_hp_nmr_A,petfold,valid,20,7,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1hlx_20_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1HLX_20_hp_nmr_A,trrosettarna2_native_ss,valid,20,7,9,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1HLX_20_hp_nmr_A/1HLX_20_hp_nmr_A_ss_prob.npz,4bbfda9ff6e40e160e7e0f4218bbea87a55833d8903102206fa6ca890d384519,4bbfda9ff6e40e160e7e0f4218bbea87a55833d8903102206fa6ca890d384519,true,pair_scores/legacy121_v1__1hlx_20_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,d1c46fc73d9f6bec5289e340f324bca0f63b808664b37b2d506f1098bd205590,1301,20x20,float32,20,9.922368917614222e-07,5.530122052732622e-06,0.0,9.754265875017154e-07,0.9999806880950928,0,0.0,0.0,0.9999806880950928,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1ikd_22_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1IKD_22_hp_nmr_A,rnafold,valid,22,7,7,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1ikd_22_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1IKD_22_hp_nmr_A,petfold,valid,22,7,7,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1ikd_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1IKD_22_hp_nmr_A,trrosettarna2_native_ss,valid,22,7,8,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1IKD_22_hp_nmr_A/1IKD_22_hp_nmr_A_ss_prob.npz,8aef393c4caa1bb7bfbffef90b345033a8f328c509a54d4ee43e82706184fc36,8aef393c4caa1bb7bfbffef90b345033a8f328c509a54d4ee43e82706184fc36,true,pair_scores/legacy121_v1__1ikd_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,99f584443ad9da171bcffc62a53cfb5d6610d284ec080c98d234f3f1f4ea02f8,1514,22x22,float32,22,9.845866770774592e-07,2.4829064386722166e-06,0.0,9.845866770774592e-07,0.9999833106994629,0,0.0,0.0,0.9999833106994629,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1jur_22_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1JUR_22_hp_nmr_A,rnafold,valid,22,8,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1jur_22_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1JUR_22_hp_nmr_A,petfold,valid,22,8,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1jur_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1JUR_22_hp_nmr_A,trrosettarna2_native_ss,valid,22,8,9,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1JUR_22_hp_nmr_A/1JUR_22_hp_nmr_A_ss_prob.npz,7d9e48c561e154b3fc9c4f2dddf0321350463c1c97625d73b74980da9fc201e2,7d9e48c561e154b3fc9c4f2dddf0321350463c1c97625d73b74980da9fc201e2,true,pair_scores/legacy121_v1__1jur_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,ad727ace82bcc97bb5e37f2964e96ef1cecfb3ae44c6b23adf2ad9569a2b2cee,1527,22x22,float32,22,1.0364951776864473e-06,7.360898052866105e-06,0.0,9.75078364717774e-07,0.9999819993972778,0,0.0,0.0,0.9999819993972778,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1k2g_22_dumbbell_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1K2G_22_dumbbell_nmr_A,rnafold,valid,22,6,3,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1k2g_22_dumbbell_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1K2G_22_dumbbell_nmr_A,petfold,valid,22,6,3,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1k2g_22_dumbbell_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1K2G_22_dumbbell_nmr_A,trrosettarna2_native_ss,valid,22,6,8,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1K2G_22_dumbbell_nmr_A/1K2G_22_dumbbell_nmr_A_ss_prob.npz,f3ccd64bf2ff37e879fb4a64523df2ec89e354972a7072487cf271441f7ed97d,f3ccd64bf2ff37e879fb4a64523df2ec89e354972a7072487cf271441f7ed97d,true,pair_scores/legacy121_v1__1k2g_22_dumbbell_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,9dc4f0fe576dd9ae1dd4bb2a46ba8561975de9cd0f525f369f7c08c86cf18f61,1538,22x22,float32,22,1.0230208999928436e-06,2.5662702682893723e-06,0.0,9.77300828708394e-07,0.9999818801879883,0,0.0,0.0,0.9999818801879883,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1k6h_22_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1K6H_22_hp_nmr_A,rnafold,valid,22,9,9,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1k6h_22_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1K6H_22_hp_nmr_A,petfold,valid,22,9,9,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1k6h_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1K6H_22_hp_nmr_A,trrosettarna2_native_ss,valid,22,9,10,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1K6H_22_hp_nmr_A/1K6H_22_hp_nmr_A_ss_prob.npz,c420139203e4a9e559b7b7f805d9fd6583dfd3e1fb9c0a34d845ad6b01db0ed8,c420139203e4a9e559b7b7f805d9fd6583dfd3e1fb9c0a34d845ad6b01db0ed8,true,pair_scores/legacy121_v1__1k6h_22_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,774d160e1f073e8900db00d072373f8db4b06ad175ebdcbd374a185aadd2f691,1512,22x22,float32,22,1.0195228696829872e-06,2.6430013804201735e-06,0.0,9.676482477516402e-07,0.9999833106994629,0,0.0,0.0,0.9999833106994629,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1ldz_30_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1LDZ_30_hpbulge_nmr_A,rnafold,valid,30,10,10,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1ldz_30_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1LDZ_30_hpbulge_nmr_A,petfold,valid,30,10,10,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1ldz_30_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1LDZ_30_hpbulge_nmr_A,trrosettarna2_native_ss,valid,30,10,12,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1LDZ_30_hpbulge_nmr_A/1LDZ_30_hpbulge_nmr_A_ss_prob.npz,e1fc053624105bbcc96d2b1e7ce20a2d04ba7407602ced778c0ff242a9087129,e1fc053624105bbcc96d2b1e7ce20a2d04ba7407602ced778c0ff242a9087129,true,pair_scores/legacy121_v1__1ldz_30_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,858d36c2ff673c1f62e3564e8b654a8e239864386d9ae3b196eadcc22cd79591,2663,30x30,float32,30,9.92281457001809e-07,3.6694264053949155e-06,0.0,9.749145419846172e-07,0.9999827146530151,0,0.0,0.0,0.9999827146530151,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1m82_25_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1M82_25_hp_nmr_A,rnafold,valid,25,9,10,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1m82_25_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1M82_25_hp_nmr_A,petfold,valid,25,9,10,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
