manifest_id,rna_id,sequence_length,evidence_channel,density_percent,evidence_seed,noise_level_percent,eligible_universe_size,selected_item_count,minimum_one_applied,source_gt_sha256,manifest_payload_sha256
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,50,109,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,688329eb363ec72ffda9ffa1d292664c593b508801211bcec66a319be5e1a0ff
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,50,113,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,f179c58a66ac6822a38e1862d84437c292ba20bb7b7bf89403af331d3eb08d3a
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,ed7220138a26b226162dce879e801ac9880f8c1e6ca7df17ff6f423b6fbd439a
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,59a437d09c681200f93c705f68e7791dfab9270892ca4822e3dc8bc8dcf4412f
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_107__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,8fb56797876327e1877bae0d4ae708c4929bba6fcd594358fdf8083df5b80dd7
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_109__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,109,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,f6e22b9e22d2fd5c6a9cb3c850ef13e723551d93d46dcf29e12c27397f892ed3
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_113__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,113,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,eb497653d039a07847c911b93d5045cdbab9eb742b14ff56fc7e5f40fc12db21
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_101__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,101,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,06d5b5bb9b4adf7cc172a237df15c73e1756ce91b33e4a6cf0d0314a584c5678
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_103__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,103,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,89b034bd0cd7fe03a8813986ed7299d145dbf8c2d4355f1c0813f8a19dd14215
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_107__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,107,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,c73de81aa07add4d311857110eca421be8dc3efc379d49449abe1ada2be760dd
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_109__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,109,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,b3c7142d84924eee6bfe85370430cfa5d9e5863b6587a09fd113212511fcd205
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_113__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,113,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,d789a7e1232b3c087123a7b414260ab218aa5630846dfcfb3f26fbd76112505d
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_101__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,101,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,1b03a018b15029104258a4d699447d45fafb8a0e5b47627e1f18a459c64ed0a4
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_103__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,103,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,88fc16de66d3dfdc4468adb5646b6d319016580ce67dd56413849254ce12ef85
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_107__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,107,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,ebdbdacc3366e6dd462335b7c9a71707ec6b18f58d633f9dd70620a6b87584b0
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_109__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,109,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,c5becf494a443e387716f8401b1611d68369a5bf36e35e60f3124ab01b25ff76
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_113__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,113,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,0954e5fa4a90c079add07699bbbd883cd7ea24b3c031155f83ed89e612c7a9f8
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_101__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,101,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,7fc6cb27caf299af9bf75869392179e6cebd888c2b5a406a07de6426e9680e37
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_103__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,103,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,8a3af1396d4f09b17b642d5819d3e6abc458293ec79b3858ebda0574be51db42
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_107__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,107,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,ff5faea9c8297c351915e21775f3ba7eac3417227098e2fe9c520172ae140377
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_109__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,109,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,1c42216047bbbe7daae5bff57d781c558dcf0844c56631111be1f7b0526d238c
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_10__seed_113__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,113,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,e40cab2c6efdcc45ee30532be38a0bdafd358a148c442c4b20e3a3f0bacf1c3e
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_101__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,101,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,40d145b54c473b1228e608b7a456bdbe19219159283f6800389f1561b204c4fb
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_103__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,103,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,0def466033fe3db293b23d9fe046357ad10e6217970a5341f471b9bb76f8703a
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_107__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,107,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,0c4890f7c92dc050ceaee476b89e091e9eb2f6133228810235033710d2968242
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_109__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,109,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,50811964db0150ca317ff927d4104c60aadcc65e70c1601428b68a98b5236fce
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_20__seed_113__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,113,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,015fd8ebb725a317d309f6fb398ef16df3df5c3300d93a3ad522668909584485
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_101__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,101,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,806c7d30fc46f221fac209986f5ef86f03a7e7958364047dc2588e70caf24c10
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_103__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,103,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,1f4b8da3ce6752498d5b9f9aa537257d8280f0b6a0958b23f8ed0e03b3ed3b79
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_107__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,107,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,c619d95c80a2a6737616c3286e52ae7445f5b15c054e845f8f224e45946de8ea
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_109__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,109,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,5507bdc2025792e523169df227a45eaeb3d97dfffd88fbe270b7301cc1522b9d
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_50__seed_113__noise_00,17RA_21_hp_nmr_A,21,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,113,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,7a0f74b1d69b21473cf05c1160d1886ecde7a8000559ee26762030fc3b188211
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,0,101,0,14,0,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,889a4484b9ad520e4ee34e19866d75af238defdddc77059070fad973c850b3fc
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,0,103,0,14,0,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,a05b475812fa27d24d99f87cb611de86f36262d7ae121df66469f4d138fc370f
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_107__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,0,107,0,14,0,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,390cc388270fc20153385f74462e5a7b0f656479a77a6fa08a74850a9c041588
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_109__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,0,109,0,14,0,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,4a62689734f5ee9c29aae4b0514219e2f6e6086e6a29dae280bfbc19139b59aa
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_00__seed_113__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,0,113,0,14,0,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,b2eb29c338b97791ea242cfd14770f2928c3d6e78cff9c0a3b0fe4345b751c32
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_01__seed_101__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,1,101,0,14,1,1,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,ce50986637348b45facf5c71ea3c97983593de6eebd827422d04f38483c71729
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_01__seed_103__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,1,103,0,14,1,1,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,e29deba686292f13987f35bb1459b36832f7bb780031df48d1a822347344f260
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_01__seed_107__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,1,107,0,14,1,1,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,d9b80a6a912a3aa3d0682dc5c167ce8e1546ba9816c246d8979790da6ca30812
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_01__seed_109__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,1,109,0,14,1,1,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,9a9f561e00f3dd873c62b2624401a6c59237cdaf354f4a8c68e27449df3003ce
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_01__seed_113__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,1,113,0,14,1,1,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,61c198a99b5c3d792bfbd8bab764bcd8126ae04ff810fb90a06fb4b9747eb593
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_05__seed_101__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,5,101,0,14,1,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,1947dcbcb6f32ea77999abc0750bc5db7511eb86dd6f8d6ee6bfa425c45b3781
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_05__seed_103__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,5,103,0,14,1,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,4e3565a4bb7d578634a911a54faac8e80af5761be362c04bb24e7c2538dee324
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_05__seed_107__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,5,107,0,14,1,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,91d26567f9f542147167776622222834e51110912ba577ab43ec2c62ec28bfbc
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_05__seed_109__noise_00,1A60_44_pseudknot_nmr_A,44,POSITIVE_PAIR_EVIDENCE,5,109,0,14,1,0,e580827c575119890c47883a2e097449c1e2f66b0fbf28be99028914d5a2060e,2a8375bf6db62f6f80dafde8a16336f85ce679748a967b283f3a20ad84669b97
