manifest_id,rna_id,channel,density_percent,evidence_seed,evidence_item_count,eligibility_status,status,status_detail,return_code,stderr
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1RNK_36_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,1RNK_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2ES5_23_hp_nmr_A__positive_pair_evidence__density_05__seed_103__noise_00,2ES5_23_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,5,103,1,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(9, 12)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (10, 13) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2ES5_23_hp_nmr_A__positive_pair_evidence__density_05__seed_109__noise_00,2ES5_23_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,5,109,1,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(9, 12)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (10, 13) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2ES5_23_hp_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,2ES5_23_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,10,107,1,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(9, 12)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (10, 13) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2ES5_23_hp_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2ES5_23_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,5,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(9, 12)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (10, 13) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2ES5_23_hp_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2ES5_23_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,5,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(9, 12)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (10, 13) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2ES5_23_hp_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2ES5_23_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,5,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(9, 12)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (10, 13) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,10,107,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,8,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,8,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,8,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,8,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2K95_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2K95_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,8,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,14,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,14,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,14,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2KRL_102_3wj_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2KRL_102_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,14,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_10__seed_101__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,10,101,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_10__seed_109__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,10,109,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_10__seed_113__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,10,113,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,101,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,9,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,9,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,9,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,9,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2M8K_48_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2M8K_48_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,9,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2MTJ_47_3wj_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,2MTJ_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,10,107,2,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(12, 15)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (13, 16) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2MTJ_47_3wj_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,2MTJ_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,3,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(12, 15)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (13, 16) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2MTJ_47_3wj_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2MTJ_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,8,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(12, 15)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (13, 16) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2N3Q_62_3wj_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,2N3Q_62_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,4,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(17, 20)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (18, 21) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2N3Q_62_3wj_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2N3Q_62_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,11,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(17, 20)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (18, 21) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2N3Q_62_3wj_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2N3Q_62_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,11,R2_ELIGIBLE,CONSTRAINT_SATISFACTION_FAIL,"missing_forced_pairs=[(17, 20)]; paired_forced_unpaired=[]",0,"WARNING: vrna_hc_add_from_db: Pairing partners (18, 21) violate minimum loop size settings of 3nt, omitting constraint
"
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__2TPK_35_pseudoknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,2TPK_35_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,6,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__5KH8_47_3wj_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,5KH8_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__5KH8_47_3wj_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,5KH8_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,109,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__5KH8_47_3wj_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,5KH8_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__5KH8_47_3wj_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,5KH8_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__5KH8_47_3wj_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,5KH8_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__5KH8_47_3wj_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,5KH8_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__5KH8_47_3wj_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,5KH8_47_3wj_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__6UES_119_4wjpseudoknot_cryoEM_A__positive_pair_evidence__density_10__seed_109__noise_00,6UES_119_4wjpseudoknot_cryoEM_A,POSITIVE_PAIR_EVIDENCE,10,109,4,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__6UES_119_4wjpseudoknot_cryoEM_A__positive_pair_evidence__density_10__seed_113__noise_00,6UES_119_4wjpseudoknot_cryoEM_A,POSITIVE_PAIR_EVIDENCE,10,113,4,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__6UES_119_4wjpseudoknot_cryoEM_A__positive_pair_evidence__density_20__seed_101__noise_00,6UES_119_4wjpseudoknot_cryoEM_A,POSITIVE_PAIR_EVIDENCE,20,101,9,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
