manifest_id,rna_id,source_model,channel,density_percent,evidence_seed,evidence_item_count,sequence_length,preserved_tp,lost_tp,removed_fp,preserved_original_fp,new_tp,new_fp,unchanged_pairs,deleted_pairs,added_pairs,beneficial_changes,harmful_changes,modified_pair_count,original_tp,original_fp,tp_preservation,fp_removal,modification_precision
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_109__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,109,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_109__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,109,0,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_113__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,113,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_113__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,113,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_113__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,113,0,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,1,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,1,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,101,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,1,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,1,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,103,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,1,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_107__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,1,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_107__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,107,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_109__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,1,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_109__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,1,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_109__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,109,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_113__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,1,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_113__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,1,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_113__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,113,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,5,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,5,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,101,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,5,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,5,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,103,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,5,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_107__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,5,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_107__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,107,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_109__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,5,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_109__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,5,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_109__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,109,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_113__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,5,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_113__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,5,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_113__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,113,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,10,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,10,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,101,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,10,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,10,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,103,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,10,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,10,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,107,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_109__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,10,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_109__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,10,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_109__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,109,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_113__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,10,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_113__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,10,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_113__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,113,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,20,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,20,101,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,101,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,20,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,20,103,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,103,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,20,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,20,107,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,107,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,20,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,20,109,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,109,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,20,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,20,113,1,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,113,1,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,50,101,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,50,101,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,101,4,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,50,103,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,50,103,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,103,4,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,50,107,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,50,107,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,107,4,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,50,109,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,50,109,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,109,4,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,50,113,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,50,113,4,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,113,4,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,0,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,0,21,7,0,1,0,0,1,7,1,1,1,1,2,7,1,1.0,1.0,0.5
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_107__noise_00,17RA_21_hp_nmr_A,petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,0,21,7,0,0,1,0,0,8,0,0,0,0,0,7,1,1.0,0.0,
